Index Name,Date,Open,High,Low,Close,Year
NIFTY 100,2006-12-29,3846.0,3859.7,3835.1,3839.3,2006
NIFTY 100,2006-12-28,3862.3,3862.3,3831.7,3838.6,2006
NIFTY 100,2006-12-27,3826.4,3851.7,3826.4,3840.7,2006
NIFTY 100,2006-12-26,3746.6,3811.8,3744.2,3808.2,2006
NIFTY 100,2006-12-22,3709.5,3743.8,3699.3,3739.3,2006
NIFTY 100,2006-12-21,3673.8,3719.4,3647.5,3704.9,2006
NIFTY 100,2006-12-20,3737.8,3754.9,3666.2,3690.1,2006
NIFTY 100,2006-12-19,3777.4,3789.7,3663.4,3707.2,2006
NIFTY 100,2006-12-18,3789.8,3799.6,3702.6,3796.4,2006
NIFTY 100,2006-12-15,3757.5,3781.1,3749.0,3765.3,2006
NIFTY 100,2006-12-14,3656.8,3728.6,3656.8,3719.0,2006
NIFTY 100,2006-12-13,3602.5,3651.1,3536.8,3641.2,2006
NIFTY 100,2006-12-12,3705.9,3733.2,3536.7,3587.7,2006
NIFTY 100,2006-11-12,3834.3,3834.3,3684.0,3723.3,2006
NIFTY 100,2006-08-12,3889.4,3891.8,3826.3,3837.3,2006
NIFTY 100,2006-07-12,3888.5,3889.9,3869.7,3882.2,2006
NIFTY 100,2006-06-12,3890.5,3902.4,3850.8,3881.9,2006
NIFTY 100,2006-05-12,3901.0,3901.0,3874.3,3885.7,2006
NIFTY 100,2006-04-12,3883.7,3885.3,3863.4,3874.4,2006
NIFTY 100,2006-01-12,3836.2,3868.0,3824.6,3866.6,2006
NIFTY 100,2006-11-30,3825.9,3826.3,3800.9,3818.6,2006
NIFTY 100,2006-11-29,3818.9,3823.6,3794.6,3800.7,2006
NIFTY 100,2006-11-28,3801.4,3821.4,3789.2,3795.4,2006
NIFTY 100,2006-11-27,3826.9,3846.7,3826.9,3841.0,2006
NIFTY 100,2006-11-24,3822.8,3838.2,3809.9,3823.7,2006
NIFTY 100,2006-11-23,3831.4,3841.7,3806.0,3816.7,2006
NIFTY 100,2006-11-22,3806.9,3829.0,3801.3,3823.8,2006
NIFTY 100,2006-11-21,3744.7,3792.2,3743.4,3790.1,2006
NIFTY 100,2006-11-20,3699.9,3736.7,3667.9,3728.7,2006
NIFTY 100,2006-11-17,3775.5,3775.9,3715.0,3732.4,2006
NIFTY 100,2006-11-16,3765.5,3787.6,3751.9,3764.4,2006
NIFTY 100,2006-11-15,3767.5,3770.1,3734.0,3761.3,2006
NIFTY 100,2006-11-14,3761.7,3762.9,3732.0,3747.5,2006
NIFTY 100,2006-11-13,3724.7,3744.4,3718.7,3741.7,2006
NIFTY 100,2006-10-11,3691.5,3724.3,3674.2,3718.2,2006
NIFTY 100,2006-09-11,3683.8,3694.2,3659.8,3681.3,2006
NIFTY 100,2006-08-11,3689.5,3697.8,3626.7,3665.0,2006
NIFTY 100,2006-07-11,3723.0,3723.0,3680.0,3686.3,2006
NIFTY 100,2006-06-11,3691.4,3705.3,3682.4,3695.0,2006
NIFTY 100,2006-03-11,3683.4,3691.3,3657.6,3688.5,2006
NIFTY 100,2006-02-11,3652.9,3686.3,3647.7,3675.1,2006
NIFTY 100,2006-01-11,3652.5,3657.4,3626.9,3652.0,2006
NIFTY 100,2006-10-31,3665.6,3666.1,3615.4,3633.1,2006
NIFTY 100,2006-10-30,3618.7,3656.1,3608.1,3651.8,2006
NIFTY 100,2006-10-27,3587.5,3626.6,3585.2,3622.2,2006
NIFTY 100,2006-10-26,3546.9,3570.9,3540.8,3563.5,2006
NIFTY 100,2006-10-23,3574.4,3574.4,3537.4,3540.6,2006
NIFTY 100,2006-10-21,3584.6,3586.2,3561.8,3567.3,2006
NIFTY 100,2006-10-20,3574.3,3593.1,3549.3,3558.6,2006
NIFTY 100,2006-10-19,3606.1,3606.1,3537.3,3558.2,2006
NIFTY 100,2006-10-18,3594.8,3606.6,3586.5,3592.8,2006
NIFTY 100,2006-10-17,3619.7,3619.7,3577.8,3596.1,2006
NIFTY 100,2006-10-16,3580.0,3609.8,3580.0,3605.2,2006
NIFTY 100,2006-10-13,3553.3,3569.4,3544.6,3563.7,2006
NIFTY 100,2006-12-10,3467.2,3520.7,3448.9,3515.5,2006
NIFTY 100,2006-11-10,3499.9,3509.9,3443.5,3456.3,2006
NIFTY 100,2006-10-10,3490.5,3500.3,3465.7,3473.7,2006
NIFTY 100,2006-09-10,3451.3,3487.6,3443.4,3470.9,2006
NIFTY 100,2006-06-10,3480.2,3482.5,3461.9,3470.9,2006
NIFTY 100,2006-05-10,3418.7,3472.9,3418.7,3465.4,2006
NIFTY 100,2006-04-10,3472.1,3472.1,3409.6,3415.8,2006
NIFTY 100,2006-03-10,3483.8,3495.3,3457.1,3463.8,2006
NIFTY 100,2006-09-29,3476.9,3491.0,3468.4,3479.8,2006
NIFTY 100,2006-09-28,3470.1,3477.9,3453.2,3465.0,2006
NIFTY 100,2006-09-27,3473.6,3480.8,3453.3,3463.6,2006
NIFTY 100,2006-09-26,3425.5,3454.6,3402.9,3450.8,2006
NIFTY 100,2006-09-25,3435.3,3435.7,3400.1,3407.3,2006
NIFTY 100,2006-09-22,3414.7,3445.6,3410.8,3428.0,2006
NIFTY 100,2006-09-21,3413.6,3439.8,3413.5,3436.3,2006
NIFTY 100,2006-09-20,3318.8,3394.4,3314.1,3388.8,2006
NIFTY 100,2006-09-19,3394.8,3403.9,3331.3,3348.4,2006
NIFTY 100,2006-09-18,3385.0,3396.8,3378.1,3383.8,2006
NIFTY 100,2006-09-15,3364.7,3378.7,3329.4,3370.5,2006
NIFTY 100,2006-09-14,3371.4,3375.8,3348.5,3364.4,2006
NIFTY 100,2006-09-13,3322.1,3359.6,3317.0,3346.2,2006
NIFTY 100,2006-12-09,3262.4,3285.2,3219.8,3281.8,2006
NIFTY 100,2006-11-09,3371.9,3371.9,3243.2,3255.4,2006
NIFTY 100,2006-08-09,3353.8,3367.4,3336.0,3361.2,2006
NIFTY 100,2006-07-09,3344.8,3360.7,3330.0,3344.8,2006
NIFTY 100,2006-06-09,3362.1,3376.9,3353.7,3365.3,2006
NIFTY 100,2006-05-09,3364.0,3367.2,3343.2,3358.7,2006
NIFTY 100,2006-04-09,3337.7,3361.6,3337.7,3356.4,2006
NIFTY 100,2006-01-09,3294.7,3317.7,3283.3,3314.9,2006
NIFTY 100,2006-08-31,3326.8,3328.3,3284.6,3291.7,2006
NIFTY 100,2006-08-30,3318.6,3319.2,3288.6,3309.8,2006
NIFTY 100,2006-08-29,3306.5,3314.7,3298.8,3306.0,2006
NIFTY 100,2006-08-28,3268.7,3286.8,3262.0,3283.3,2006
NIFTY 100,2006-08-25,3271.9,3282.2,3257.6,3267.6,2006
NIFTY 100,2006-08-24,3192.0,3256.3,3186.2,3248.8,2006
NIFTY 100,2006-08-23,3246.7,3250.7,3207.2,3216.9,2006
NIFTY 100,2006-08-22,3249.4,3282.1,3239.0,3249.3,2006
NIFTY 100,2006-08-21,3233.8,3255.4,3215.6,3249.6,2006
NIFTY 100,2006-08-18,3237.5,3244.3,3218.5,3234.5,2006
NIFTY 100,2006-08-17,3262.1,3262.1,3207.8,3231.8,2006
NIFTY 100,2006-08-16,3230.7,3254.6,3229.1,3235.6,2006
NIFTY 100,2006-08-14,3174.5,3196.3,3167.8,3192.4,2006
NIFTY 100,2006-11-08,3154.8,3167.6,3119.0,3154.2,2006
NIFTY 100,2006-10-08,3126.9,3151.1,3109.7,3139.4,2006
NIFTY 100,2006-09-08,3072.4,3139.7,3072.0,3128.7,2006
NIFTY 100,2006-08-08,3042.2,3089.8,3042.2,3086.7,2006
NIFTY 100,2006-07-08,3033.1,3050.4,3020.4,3030.0,2006
NIFTY 100,2006-04-08,3068.4,3096.0,3035.9,3049.6,2006
NIFTY 100,2006-03-08,3069.7,3107.1,3050.5,3063.7,2006
NIFTY 100,2006-02-08,3016.0,3061.7,3016.0,3056.8,2006
NIFTY 100,2006-01-08,3015.1,3030.9,2991.5,3022.5,2006
NIFTY 100,2006-07-31,3043.4,3053.1,3012.6,3020.9,2006
NIFTY 100,2006-07-28,3019.0,3036.3,2986.2,3005.4,2006
NIFTY 100,2006-07-27,3002.9,3029.0,2978.7,3020.6,2006
NIFTY 100,2006-07-26,2923.7,2988.6,2899.5,2978.7,2006
NIFTY 100,2006-07-25,2888.3,2920.4,2884.1,2914.7,2006
NIFTY 100,2006-07-24,2788.2,2865.0,2755.9,2858.7,2006
NIFTY 100,2006-07-21,2868.5,2871.2,2805.4,2818.8,2006
NIFTY 100,2006-07-20,2883.7,2908.7,2862.4,2892.2,2006
NIFTY 100,2006-07-19,2897.0,2906.6,2795.6,2806.8,2006
NIFTY 100,2006-07-18,2902.7,2911.5,2846.3,2868.5,2006
NIFTY 100,2006-07-17,2976.1,2976.1,2881.6,2887.5,2006
NIFTY 100,2006-07-14,2981.3,3008.6,2964.7,2995.7,2006
NIFTY 100,2006-07-13,3050.8,3062.4,3020.2,3038.2,2006
NIFTY 100,2006-12-07,2978.2,3065.2,2965.8,3060.9,2006
NIFTY 100,2006-11-07,3010.1,3015.2,2976.3,2990.9,2006
NIFTY 100,2006-10-07,2954.1,3018.0,2943.1,3012.5,2006
NIFTY 100,2006-07-07,3055.6,3066.4,2937.1,2953.3,2006
NIFTY 100,2006-06-07,3026.0,3053.0,3013.7,3030.2,2006
NIFTY 100,2006-05-07,2999.6,3069.2,2997.4,3066.0,2006
NIFTY 100,2006-04-07,3041.3,3048.1,3004.1,3011.8,2006
NIFTY 100,2006-03-07,3024.3,3030.2,2991.7,3022.9,2006
NIFTY 100,2006-06-30,2946.2,3006.9,2946.2,3003.2,2006
NIFTY 100,2006-06-29,2905.8,2926.0,2868.6,2878.6,2006
NIFTY 100,2006-06-28,2807.0,2884.7,2807.0,2863.4,2006
NIFTY 100,2006-06-27,2850.8,2887.6,2792.7,2867.5,2006
NIFTY 100,2006-06-26,2952.6,2952.6,2823.5,2835.0,2006
NIFTY 100,2006-06-25,2971.5,2972.7,2933.0,2945.4,2006
NIFTY 100,2006-06-23,2872.6,2953.4,2831.1,2936.5,2006
NIFTY 100,2006-06-22,2896.2,2917.9,2885.6,2896.7,2006
NIFTY 100,2006-06-21,2759.5,2832.5,2750.9,2827.3,2006
NIFTY 100,2006-06-20,2786.9,2792.6,2745.7,2768.8,2006
NIFTY 100,2006-06-19,2797.5,2831.2,2750.7,2817.6,2006
NIFTY 100,2006-06-16,2772.8,2853.2,2760.1,2787.6,2006
NIFTY 100,2006-06-15,2603.3,2704.1,2575.4,2692.7,2006
NIFTY 100,2006-06-14,2605.6,2667.3,2499.6,2533.8,2006
NIFTY 100,2006-06-13,2602.5,2607.8,2546.4,2568.1,2006
NIFTY 100,2006-12-06,2764.1,2771.7,2674.6,2686.3,2006
NIFTY 100,2006-09-06,2603.7,2778.1,2603.7,2769.2,2006
NIFTY 100,2006-08-06,2728.6,2728.6,2584.2,2621.6,2006
NIFTY 100,2006-07-06,2830.4,2876.9,2726.4,2768.8,2006
NIFTY 100,2006-06-06,2847.6,2926.7,2838.9,2859.8,2006
NIFTY 100,2006-05-06,3017.7,3031.6,2929.5,2935.9,2006
NIFTY 100,2006-02-06,2906.0,3012.9,2870.3,3006.9,2006
NIFTY 100,2006-01-06,3037.6,3052.7,2871.6,2894.2,2006
NIFTY 100,2006-05-31,2991.0,3022.7,2902.2,2998.3,2006
NIFTY 100,2006-05-30,3143.0,3165.4,3088.7,3103.8,2006
NIFTY 100,2006-05-29,3115.5,3164.2,3108.9,3132.2,2006
NIFTY 100,2006-05-26,3119.8,3177.1,3089.6,3117.4,2006
NIFTY 100,2006-05-25,2973.0,3094.0,2939.8,3076.0,2006
NIFTY 100,2006-05-24,3137.2,3160.3,3009.5,3029.6,2006
NIFTY 100,2006-05-23,2985.1,3119.7,2910.2,3106.2,2006
NIFTY 100,2006-05-22,3184.0,3184.0,2798.7,2986.4,2006
NIFTY 100,2006-05-19,3381.3,3381.3,3120.6,3155.4,2006
